re,ang,A,L,wnum,structure,fuzhi
6,11,0.001,0.01,5,tri,0.00023201600000000004
11,11,0.001,0.01,5,tri,0.000292624
16,11,0.001,0.01,5,tri,0.0003930399999999999
21,11,0.001,0.01,5,tri,0.0005160900000000001
26,11,0.001,0.01,5,tri,0.0007041300000000001
31,11,0.001,0.01,5,tri,0.0008381900000000002
36,11,0.001,0.01,5,tri,0.00081748
41,11,0.001,0.01,5,tri,0.0006417300000000001
46,11,0.001,0.01,5,tri,0.0004877200000000001
51,11,0.001,0.01,5,tri,0.00038265999999999994
56,11,0.001,0.01,5,tri,0.00031429000000000006
61,11,0.001,0.01,5,tri,0.0002658599999999997
66,11,0.001,0.01,5,tri,0.00023172999999999987
71,11,0.001,0.01,5,tri,0.00020590000000000018
76,11,0.001,0.01,5,tri,0.00018572000000000033
81,11,0.001,0.01,5,tri,0.00016905999999999996
86,11,0.001,0.01,5,tri,0.0001549100000000003
91,11,0.001,0.01,5,tri,0.0001425199999999997
96,11,0.001,0.01,5,tri,0.00013221000000000023
1,11,0.002,0.01,5,tri,0.0003412197
6,11,0.002,0.01,5,tri,0.00033956900000000007
11,11,0.002,0.01,5,tri,0.00042822299999999993
16,11,0.002,0.01,5,tri,0.0005551129999999999
21,11,0.002,0.01,5,tri,0.00068588
26,11,0.002,0.01,5,tri,0.0008800500000000001
31,11,0.002,0.01,5,tri,0.0010544500000000002
36,11,0.002,0.01,5,tri,0.0013380050000000002
41,11,0.002,0.01,5,tri,0.001214226
46,11,0.002,0.01,5,tri,0.0008301500000000002
51,11,0.002,0.01,5,tri,0.0005703100000000001
56,11,0.002,0.01,5,tri,0.0004214800000000001
61,11,0.002,0.01,5,tri,0.00031835999999999995
66,11,0.002,0.01,5,tri,0.00025084999999999994
71,11,0.002,0.01,5,tri,0.0002056899999999997
76,11,0.002,0.01,5,tri,0.00017480999999999964
81,11,0.002,0.01,5,tri,0.00015346000000000023
86,11,0.002,0.01,5,tri,0.0001388699999999997
91,11,0.002,0.01,5,tri,0.0001267
96,11,0.002,0.01,5,tri,0.00011725000000000017
1,11,0.003,0.01,5,tri,0.00038200479999999997
6,11,0.003,0.01,5,tri,0.00038902399999999997
11,11,0.003,0.01,5,tri,0.0004728159999999999
16,11,0.003,0.01,5,tri,0.0005892419999999999
21,11,0.003,0.01,5,tri,0.0007192400000000001
26,11,0.003,0.01,5,tri,0.0008987400000000001
31,11,0.003,0.01,5,tri,0.0010687899999999998
36,11,0.003,0.01,5,tri,0.001224
41,11,0.003,0.01,5,tri,0.0016356689999999998
46,11,0.003,0.01,5,tri,0.0008749999999999999
51,11,0.003,0.01,5,tri,0.00052574
56,11,0.003,0.01,5,tri,0.00039485
61,11,0.003,0.01,5,tri,0.00028680000000000025
66,11,0.003,0.01,5,tri,0.00020490000000000005
71,11,0.003,0.01,5,tri,0.00018232000000000014
76,11,0.003,0.01,5,tri,0.00016994999999999988
81,11,0.003,0.01,5,tri,0.00015704999999999972
86,11,0.003,0.01,5,tri,0.00014373000000000033
91,11,0.003,0.01,5,tri,0.00013105000000000018
96,11,0.003,0.01,5,tri,0.00012037000000000029
1,11,0.004,0.01,5,tri,0.000429701
6,11,0.004,0.01,5,tri,0.00040785099999999993
11,11,0.004,0.01,5,tri,0.0004806979999999999
16,11,0.004,0.01,5,tri,0.000588181
21,11,0.004,0.01,5,tri,0.0007430550000000001
26,11,0.004,0.01,5,tri,0.0009096600000000001
31,11,0.004,0.01,5,tri,0.00107729
36,11,0.004,0.01,5,tri,0.0011747299999999997
41,11,0.004,0.01,5,tri,0.0013837310000000002
46,11,0.004,0.01,5,tri,0.00099121
51,11,0.004,0.01,5,tri,0.0006301799999999999
56,11,0.004,0.01,5,tri,0.0005207300000000001
61,11,0.004,0.01,5,tri,0.0004019700000000002
66,11,0.004,0.01,5,tri,0.00032658999999999987
71,11,0.004,0.01,5,tri,0.00030582000000000005
76,11,0.004,0.01,5,tri,0.00025702999999999967
81,11,0.004,0.01,5,tri,0.00020846000000000016
86,11,0.004,0.01,5,tri,0.0001649399999999997
91,11,0.004,0.01,5,tri,0.00015629000000000033
96,11,0.004,0.01,5,tri,0.00013625000000000009
