re,ang,A,L,wnum,structure,yintensity_bogu
1,11,0.001,0.01,5,rec,0.00033548007173999993
6,11,0.001,0.01,5,rec,0.0008387232875
11,11,0.001,0.01,5,rec,0.0020938889529999996
16,11,0.001,0.01,5,rec,0.0038257962840000004
21,11,0.001,0.01,5,rec,0.006414464936
26,11,0.001,0.01,5,rec,0.010799998057
31,11,0.001,0.01,5,rec,0.015014630171999999
36,11,0.001,0.01,5,rec,0.010997553142
41,11,0.001,0.01,5,rec,0.005872958109
46,11,0.001,0.01,5,rec,0.012481638819999996
51,11,0.001,0.01,5,rec,0.012009635579999997
56,11,0.001,0.01,5,rec,0.012043354050000003
61,11,0.001,0.01,5,rec,0.01140722827
66,11,0.001,0.01,5,rec,0.010764558929999996
71,11,0.001,0.01,5,rec,0.010388374349999998
76,11,0.001,0.01,5,rec,0.010060157099999996
81,11,0.001,0.01,5,rec,0.009729823839999999
86,11,0.001,0.01,5,rec,0.009387349909999999
91,11,0.001,0.01,5,rec,0.009127572830000003
96,11,0.001,0.01,5,rec,0.008933830330000002
1,11,0.002,0.01,5,rec,0.00020979659153000003
6,11,0.002,0.01,5,rec,0.0017606308400000001
11,11,0.002,0.01,5,rec,0.0030011594079999994
16,11,0.002,0.01,5,rec,0.003894848827000001
21,11,0.002,0.01,5,rec,0.005355132428999999
26,11,0.002,0.01,5,rec,0.008316924478
31,11,0.002,0.01,5,rec,0.010866960959000001
36,11,0.002,0.01,5,rec,0.007701241085999999
41,11,0.002,0.01,5,rec,0.0074228372249999985
46,11,0.002,0.01,5,rec,0.010036663743000001
51,11,0.002,0.01,5,rec,0.009598509889800003
56,11,0.002,0.01,5,rec,0.0084954259702
61,11,0.002,0.01,5,rec,0.007824740354
66,11,0.002,0.01,5,rec,0.0072018629499999995
71,11,0.002,0.01,5,rec,0.00675246824
76,11,0.002,0.01,5,rec,0.006428875707999998
81,11,0.002,0.01,5,rec,0.006126957970999999
86,11,0.002,0.01,5,rec,0.005835895780999999
91,11,0.002,0.01,5,rec,0.005625133578999998
96,11,0.002,0.01,5,rec,0.005482687065
1,11,0.003,0.01,5,rec,0.00030996857756
6,11,0.003,0.01,5,rec,0.0017142307244000002
11,11,0.003,0.01,5,rec,0.0022018465857999987
16,11,0.003,0.01,5,rec,0.0025045289234999994
21,11,0.003,0.01,5,rec,0.0035782880707
26,11,0.003,0.01,5,rec,0.006272467871000001
31,11,0.003,0.01,5,rec,0.0079609434679
36,11,0.003,0.01,5,rec,0.004127363010999999
41,11,0.003,0.01,5,rec,0.006306975606999999
46,11,0.003,0.01,5,rec,0.007449683182
51,11,0.003,0.01,5,rec,0.007448373233999999
56,11,0.003,0.01,5,rec,0.006802668862000002
61,11,0.003,0.01,5,rec,0.006587840911999999
66,11,0.003,0.01,5,rec,0.006353995539000001
71,11,0.003,0.01,5,rec,0.006227318480000002
76,11,0.003,0.01,5,rec,0.006174120585849998
81,11,0.003,0.01,5,rec,0.006107837860000003
86,11,0.003,0.01,5,rec,0.0060137252099999984
91,11,0.003,0.01,5,rec,0.005987617519999999
96,11,0.003,0.01,5,rec,0.0060152072400000015
1,11,0.004,0.01,5,rec,0.00015596481895200002
6,11,0.004,0.01,5,rec,0.00131851734966
11,11,0.004,0.01,5,rec,0.0015876941209
16,11,0.004,0.01,5,rec,0.0019355867781999999
21,11,0.004,0.01,5,rec,0.003109448925400001
26,11,0.004,0.01,5,rec,0.005768139560000001
31,11,0.004,0.01,5,rec,0.007144931875
36,11,0.004,0.01,5,rec,0.0037015363980000006
41,11,0.004,0.01,5,rec,0.006110367128
46,11,0.004,0.01,5,rec,0.00676197849
51,11,0.004,0.01,5,rec,0.006781356740000001
56,11,0.004,0.01,5,rec,0.006351795544000001
61,11,0.004,0.01,5,rec,0.006213163175999999
66,11,0.004,0.01,5,rec,0.006066169850999999
71,11,0.004,0.01,5,rec,0.006004931401999999
76,11,0.004,0.01,5,rec,0.006011276127999999
81,11,0.004,0.01,5,rec,0.005996131333999998
86,11,0.004,0.01,5,rec,0.0059418868309999975
91,11,0.004,0.01,5,rec,0.005946794733999998
96,11,0.004,0.01,5,rec,0.006012088998000003
