re,ang,A,L,wnum,structure,yintensity_surface
6,11,0.001,0.01,5,rec,0.003228620792803004
11,11,0.001,0.01,5,rec,0.00609643816300941
16,11,0.001,0.01,5,rec,0.010380969383802757
21,11,0.001,0.01,5,rec,0.01640111188689916
26,11,0.001,0.01,5,rec,0.025860864150205668
31,11,0.001,0.01,5,rec,0.03445586708611108
36,11,0.001,0.01,5,rec,0.04117180639470795
41,11,0.001,0.01,5,rec,0.038938521903669865
46,11,0.001,0.01,5,rec,0.03168397653217806
51,11,0.001,0.01,5,rec,0.026010131352617816
56,11,0.001,0.01,5,rec,0.02212950725294882
61,11,0.001,0.01,5,rec,0.019331267111413083
66,11,0.001,0.01,5,rec,0.01722539690112988
71,11,0.001,0.01,5,rec,0.015607033279661037
76,11,0.001,0.01,5,rec,0.014328573617647085
81,11,0.001,0.01,5,rec,0.013282128549999985
86,11,0.001,0.01,5,rec,0.012380152617054243
91,11,0.001,0.01,5,rec,0.011684699683563775
96,11,0.001,0.01,5,rec,0.011049833041666625
1,11,0.002,0.01,5,rec,0.001003581750716031
6,11,0.002,0.01,5,rec,0.003339249142676769
11,11,0.002,0.01,5,rec,0.0062602805160256285
16,11,0.002,0.01,5,rec,0.010185523068662012
21,11,0.002,0.01,5,rec,0.015867453130518207
26,11,0.002,0.01,5,rec,0.02483684112190066
31,11,0.002,0.01,5,rec,0.034095419963203366
36,11,0.002,0.01,5,rec,0.040158256192690735
41,11,0.002,0.01,5,rec,0.03708599775694445
46,11,0.002,0.01,5,rec,0.028479457296758114
51,11,0.002,0.01,5,rec,0.022497184364351264
56,11,0.002,0.01,5,rec,0.01855454579292263
61,11,0.002,0.01,5,rec,0.015844549413858683
66,11,0.002,0.01,5,rec,0.013902604683615842
71,11,0.002,0.01,5,rec,0.012439372299435009
76,11,0.002,0.01,5,rec,0.011273012094117676
81,11,0.002,0.01,5,rec,0.010331918438235313
86,11,0.002,0.01,5,rec,0.00961325713671277
91,11,0.002,0.01,5,rec,0.008999135459293378
96,11,0.002,0.01,5,rec,0.00845014979807691
1,11,0.003,0.01,5,rec,0.0027249423269519366
6,11,0.003,0.01,5,rec,0.003412302281186885
11,11,0.003,0.01,5,rec,0.006073315490595642
16,11,0.003,0.01,5,rec,0.009907214198943685
21,11,0.003,0.01,5,rec,0.015247568445283004
26,11,0.003,0.01,5,rec,0.02405441940650411
31,11,0.003,0.01,5,rec,0.03322222701709395
36,11,0.003,0.01,5,rec,0.03811979123920265
41,11,0.003,0.01,5,rec,0.033131547064814894
46,11,0.003,0.01,5,rec,0.025422903645885266
51,11,0.003,0.01,5,rec,0.019995322280471784
56,11,0.003,0.01,5,rec,0.01646321143455499
61,11,0.003,0.01,5,rec,0.014116484429347844
66,11,0.003,0.01,5,rec,0.012357015338983026
71,11,0.003,0.01,5,rec,0.011073779163841804
76,11,0.003,0.01,5,rec,0.010064912217647062
81,11,0.003,0.01,5,rec,0.009241427341176492
86,11,0.003,0.01,5,rec,0.008583353439324138
91,11,0.003,0.01,5,rec,0.007997339173579152
96,11,0.003,0.01,5,rec,0.007541777580128191
1,11,0.004,0.01,5,rec,0.0016042966659908966
6,11,0.004,0.01,5,rec,0.0033031483232323173
11,11,0.004,0.01,5,rec,0.006046096985893424
16,11,0.004,0.01,5,rec,0.009842984521126774
21,11,0.004,0.01,5,rec,0.015160620751698103
26,11,0.004,0.01,5,rec,0.0238920105752032
31,11,0.004,0.01,5,rec,0.03297440865161277
36,11,0.004,0.01,5,rec,0.03716823812403081
41,11,0.004,0.01,5,rec,0.03226721438515086
46,11,0.004,0.01,5,rec,0.024566414446384084
51,11,0.004,0.01,5,rec,0.01945405907470505
56,11,0.004,0.01,5,rec,0.016046051421465982
61,11,0.004,0.01,5,rec,0.013778499619565234
66,11,0.004,0.01,5,rec,0.012075640728813558
71,11,0.004,0.01,5,rec,0.01080163739942531
76,11,0.004,0.01,5,rec,0.009836872817647073
81,11,0.004,0.01,5,rec,0.009049233479411764
86,11,0.004,0.01,5,rec,0.008423943754224275
91,11,0.004,0.01,5,rec,0.00786594519201232
96,11,0.004,0.01,5,rec,0.00743443370226536
