re,ang,A,L,wnum,structure,yspeed
6,11,0.001,0.01,5,rec,0.0033862862500000004
11,11,0.001,0.01,5,rec,0.007228449999999999
16,11,0.001,0.01,5,rec,0.014146700000000002
21,11,0.001,0.01,5,rec,0.025816200000000004
26,11,0.001,0.01,5,rec,0.042306874999999994
31,11,0.001,0.01,5,rec,0.05939704999999999
36,11,0.001,0.01,5,rec,0.0464824
41,11,0.001,0.01,5,rec,-0.006178875
46,11,0.001,0.01,5,rec,-0.012146356250000002
51,11,0.001,0.01,5,rec,-0.022409
56,11,0.001,0.01,5,rec,-0.0165014
61,11,0.001,0.01,5,rec,-0.0121780875
66,11,0.001,0.01,5,rec,-0.013051
71,11,0.001,0.01,5,rec,-0.0126778
76,11,0.001,0.01,5,rec,-0.012465
86,11,0.001,0.01,5,rec,-0.011849400000000001
91,11,0.001,0.01,5,rec,-0.011568799999999999
1,11,0.002,0.01,5,rec,0.0002623257894736842
6,11,0.002,0.01,5,rec,0.0030896412499999996
11,11,0.002,0.01,5,rec,0.007213019999999999
16,11,0.002,0.01,5,rec,0.01485175
21,11,0.002,0.01,5,rec,0.0257741
26,11,0.002,0.01,5,rec,0.041719980000000004
31,11,0.002,0.01,5,rec,0.051972662499999996
36,11,0.002,0.01,5,rec,0.0338752
41,11,0.002,0.01,5,rec,-0.015073467500000003
46,11,0.002,0.01,5,rec,-0.02626245
51,11,0.002,0.01,5,rec,-0.0172735
56,11,0.002,0.01,5,rec,-0.0136086
61,11,0.002,0.01,5,rec,-0.013750849999999998
66,11,0.002,0.01,5,rec,-0.0133857
71,11,0.002,0.01,5,rec,-0.0126972
76,11,0.002,0.01,5,rec,-0.011840999999999999
81,11,0.002,0.01,5,rec,-0.011137300000000001
86,11,0.002,0.01,5,rec,-0.0105634
91,11,0.002,0.01,5,rec,-0.010467
96,11,0.002,0.01,5,rec,-0.01018983
1,11,0.003,0.01,5,rec,0.0023768621052631576
6,11,0.003,0.01,5,rec,0.0036617775000000003
11,11,0.003,0.01,5,rec,0.00667545
16,11,0.003,0.01,5,rec,0.01462235
21,11,0.003,0.01,5,rec,0.023326700000000002
26,11,0.003,0.01,5,rec,0.04026225
31,11,0.003,0.01,5,rec,0.046414815384615386
36,11,0.003,0.01,5,rec,0.019374599999999995
41,11,0.003,0.01,5,rec,-0.01093035625
46,11,0.003,0.01,5,rec,-0.019764450000000003
51,11,0.003,0.01,5,rec,-0.0143115
56,11,0.003,0.01,5,rec,-0.0139524
61,11,0.003,0.01,5,rec,-0.0138319
66,11,0.003,0.01,5,rec,-0.0129403
71,11,0.003,0.01,5,rec,-0.0117665
76,11,0.003,0.01,5,rec,-0.010942885000000001
81,11,0.003,0.01,5,rec,-0.0108622
86,11,0.003,0.01,5,rec,-0.0104731
91,11,0.003,0.01,5,rec,-0.0101265
96,11,0.003,0.01,5,rec,-0.009807989999999999
1,11,0.004,0.01,5,rec,0.0005182325263157897
6,11,0.004,0.01,5,rec,0.0033917387500000005
11,11,0.004,0.01,5,rec,0.007036359999999999
16,11,0.004,0.01,5,rec,0.01438645
21,11,0.004,0.01,5,rec,0.0217315
26,11,0.004,0.01,5,rec,0.0398787
31,11,0.004,0.01,5,rec,0.04372271538461539
36,11,0.004,0.01,5,rec,0.017238100000000003
41,11,0.004,0.01,5,rec,-0.012450837500000003
46,11,0.004,0.01,5,rec,-0.019954649999999997
51,11,0.004,0.01,5,rec,-0.0142827
56,11,0.004,0.01,5,rec,-0.0140456
61,11,0.004,0.01,5,rec,-0.012596
66,11,0.004,0.01,5,rec,-0.0128293
71,11,0.004,0.01,5,rec,-0.0115222
76,11,0.004,0.01,5,rec,-0.01117075
81,11,0.004,0.01,5,rec,-0.0108506
86,11,0.004,0.01,5,rec,-0.0104793
91,11,0.004,0.01,5,rec,-0.0101421
96,11,0.004,0.01,5,rec,-0.009837869999999999
